urn,path,author,title,suggested_genre,confidence,recommended_genre,notes
tlg0018.tlg005.1st1K-eng1,tlg0018/tlg005/tlg0018.tlg005.1st1K-eng1.xml,Philo Judaeus,Quod Deterius Potiori Insidiari Soleat,prose-philosophy,high,prose-philosophy,
tlg0018.tlg005.1st1K-grc1,tlg0018/tlg005/tlg0018.tlg005.1st1K-grc1.xml,Philo Judaeus,Quod Deterius Potiori Insidiari Soleat,prose-philosophy,high,prose-philosophy,
tlg0018.tlg006.1st1K-eng1,tlg0018/tlg006/tlg0018.tlg006.1st1K-eng1.xml,Philo Judaeus,De Posteritate Caini,prose-philosophy,high,prose-philosophy,
tlg0018.tlg006.1st1K-grc1,tlg0018/tlg006/tlg0018.tlg006.1st1K-grc1.xml,Philo Judaeus,De Posteritate Caini,prose-philosophy,high,prose-philosophy,
tlg0018.tlg007.1st1K-eng1,tlg0018/tlg007/tlg0018.tlg007.1st1K-eng1.xml,Philo Judaeus,De Gigantibus,prose-philosophy,high,prose-philosophy,
tlg0018.tlg007.1st1K-grc1,tlg0018/tlg007/tlg0018.tlg007.1st1K-grc1.xml,Philo Judaeus,De Gigantibus,prose-philosophy,high,prose-philosophy,
tlg0018.tlg008.1st1K-eng1,tlg0018/tlg008/tlg0018.tlg008.1st1K-eng1.xml,Philo Judaeus,Quod Deus Sit Immutabilis,prose-philosophy,high,prose-philosophy,
tlg0018.tlg008.1st1K-grc1,tlg0018/tlg008/tlg0018.tlg008.1st1K-grc1.xml,Philo Judaeus,Quod Deus Sit Immutabilis,prose-philosophy,high,prose-philosophy,
tlg0018.tlg009.1st1K-eng1,tlg0018/tlg009/tlg0018.tlg009.1st1K-eng1.xml,Philo Judaeus,De Agricultura,prose-philosophy,high,prose-philosophy,
tlg0018.tlg009.1st1K-grc1,tlg0018/tlg009/tlg0018.tlg009.1st1K-grc1.xml,Philo Judaeus,De Agricultura,prose-philosophy,high,prose-philosophy,
tlg0018.tlg010.1st1K-eng1,tlg0018/tlg010/tlg0018.tlg010.1st1K-eng1.xml,Philo Judaeus,De Plantatione,prose-philosophy,high,prose-philosophy,
tlg0018.tlg010.1st1K-grc1,tlg0018/tlg010/tlg0018.tlg010.1st1K-grc1.xml,Philo Judaeus,De Plantatione,prose-philosophy,high,prose-philosophy,
tlg0018.tlg011.1st1K-eng1,tlg0018/tlg011/tlg0018.tlg011.1st1K-eng1.xml,Philo Judaeus,De Ebrietate,prose-philosophy,high,prose-philosophy,
tlg0018.tlg011.1st1K-grc1,tlg0018/tlg011/tlg0018.tlg011.1st1K-grc1.xml,Philo Judaeus,De Ebrietate,prose-philosophy,high,prose-philosophy,
tlg0018.tlg012.1st1K-eng1,tlg0018/tlg012/tlg0018.tlg012.1st1K-eng1.xml,Philo Judaeus,De Sobrietate,prose-philosophy,high,prose-philosophy,
tlg0018.tlg012.1st1K-grc1,tlg0018/tlg012/tlg0018.tlg012.1st1K-grc1.xml,Philo Judaeus,De Sobrietate,prose-philosophy,high,prose-philosophy,
tlg0018.tlg013.1st1K-eng1,tlg0018/tlg013/tlg0018.tlg013.1st1K-eng1.xml,Philo Judaeus,De Confusione Linguarum,prose-philosophy,high,prose-philosophy,
tlg0018.tlg013.1st1K-grc1,tlg0018/tlg013/tlg0018.tlg013.1st1K-grc1.xml,Philo Judaeus,De Confusione Linguarum,prose-philosophy,high,prose-philosophy,
tlg0018.tlg014.1st1K-eng1,tlg0018/tlg014/tlg0018.tlg014.1st1K-eng1.xml,Philo Judaeus,De Migratione Abrahami,prose-philosophy,high,prose-philosophy,
tlg0018.tlg014.1st1K-grc1,tlg0018/tlg014/tlg0018.tlg014.1st1K-grc1.xml,Philo Judaeus,De Migratione Abrahami,prose-philosophy,high,prose-philosophy,
tlg0018.tlg015.1st1K-eng1,tlg0018/tlg015/tlg0018.tlg015.1st1K-eng1.xml,Philo Judaeus,Quis Rerum Divinarum Heres Sit,prose-philosophy,high,prose-philosophy,
tlg0018.tlg015.1st1K-grc1,tlg0018/tlg015/tlg0018.tlg015.1st1K-grc1.xml,Philo Judaeus,Quis Rerum Divinarum Heres Sit,prose-philosophy,high,prose-philosophy,
tlg0018.tlg016.1st1K-eng1,tlg0018/tlg016/tlg0018.tlg016.1st1K-eng1.xml,Philo Judaeus,De Congressu Eruditionis Gratia,prose-philosophy,high,prose-philosophy,
tlg0018.tlg016.1st1K-grc1,tlg0018/tlg016/tlg0018.tlg016.1st1K-grc1.xml,Philo Judaeus,De Congressu Eruditionis Gratia,prose-philosophy,high,prose-philosophy,
tlg0018.tlg017.1st1K-eng1,tlg0018/tlg017/tlg0018.tlg017.1st1K-eng1.xml,Philo Judaeus,De Fuga Et Inventione,prose-philosophy,high,prose-philosophy,
tlg0018.tlg017.1st1K-grc1,tlg0018/tlg017/tlg0018.tlg017.1st1K-grc1.xml,Philo Judaeus,De Fuga Et Inventione,prose-philosophy,high,prose-philosophy,
tlg0018.tlg018.1st1K-eng1,tlg0018/tlg018/tlg0018.tlg018.1st1K-eng1.xml,Philo Judaeus,De Mutatione Nominum,prose-philosophy,high,prose-philosophy,
tlg0018.tlg018.1st1K-grc1,tlg0018/tlg018/tlg0018.tlg018.1st1K-grc1.xml,Philo Judaeus,De Mutatione Nominum,prose-philosophy,high,prose-philosophy,
tlg0018.tlg019.1st1K-eng1,tlg0018/tlg019/tlg0018.tlg019.1st1K-eng1.xml,Philo Judaeus,De Somniis (lib. i-ii),prose-philosophy,high,prose-philosophy,
tlg0018.tlg019.1st1K-grc1,tlg0018/tlg019/tlg0018.tlg019.1st1K-grc1.xml,Philo Judaeus,De Somniis (lib. i-ii),prose-philosophy,high,prose-philosophy,
tlg0018.tlg020.1st1K-eng1,tlg0018/tlg020/tlg0018.tlg020.1st1K-eng1.xml,Philo Judaeus,De Abrahamo,prose-philosophy,high,prose-philosophy,
tlg0018.tlg020.1st1K-grc1,tlg0018/tlg020/tlg0018.tlg020.1st1K-grc1.xml,Philo Judaeus,De Abrahamo,prose-philosophy,high,prose-philosophy,
tlg0018.tlg021.1st1K-eng1,tlg0018/tlg021/tlg0018.tlg021.1st1K-eng1.xml,Philo Judaeus,De Josepho,prose-philosophy,high,prose-philosophy,
tlg0018.tlg021.1st1K-grc1,tlg0018/tlg021/tlg0018.tlg021.1st1K-grc1.xml,Philo Judaeus,De Josepho,prose-philosophy,high,prose-philosophy,
tlg0018.tlg022.1st1K-eng1,tlg0018/tlg022/tlg0018.tlg022.1st1K-eng1.xml,Philo Judaeus,De Vita Mosis (Lib. I-II),prose-biography,high,prose-biography,
tlg0018.tlg022.1st1K-grc1,tlg0018/tlg022/tlg0018.tlg022.1st1K-grc1.xml,Philo Judaeus,De Vita Mosis (Lib. I-II),prose-biography,high,prose-biography,
tlg0018.tlg023.1st1K-eng1,tlg0018/tlg023/tlg0018.tlg023.1st1K-eng1.xml,Philo Judaeus,De Decalogo,prose-philosophy,high,prose-philosophy,
tlg0018.tlg023.1st1K-grc1,tlg0018/tlg023/tlg0018.tlg023.1st1K-grc1.xml,Philo Judaeus,De Decalogo,prose-philosophy,high,prose-philosophy,
tlg0018.tlg024.1st1K-eng1,tlg0018/tlg024/tlg0018.tlg024.1st1K-eng1.xml,Philo Judaeus,De Specialibus Legibus (lib. i‑iv),prose-philosophy,high,prose-philosophy,
tlg0018.tlg024.1st1K-grc1,tlg0018/tlg024/tlg0018.tlg024.1st1K-grc1.xml,Philo Judaeus,De Specialibus Legibus (lib. i‑iv),prose-philosophy,high,prose-philosophy,
tlg0018.tlg025.1st1K-eng1,tlg0018/tlg025/tlg0018.tlg025.1st1K-eng1.xml,Philo Judaeus,De Virtutibus,prose-philosophy,high,prose-philosophy,
tlg0018.tlg025.1st1K-grc1,tlg0018/tlg025/tlg0018.tlg025.1st1K-grc1.xml,Philo Judaeus,De Virtutibus,prose-philosophy,high,prose-philosophy,
tlg0018.tlg026.1st1K-eng1,tlg0018/tlg026/tlg0018.tlg026.1st1K-eng1.xml,Philo Judaeus,De Praemiis Et Poenis Et De Exsecrationibus,prose-philosophy,high,prose-philosophy,
tlg0018.tlg026.1st1K-grc1,tlg0018/tlg026/tlg0018.tlg026.1st1K-grc1.xml,Philo Judaeus,De Praemiis Et Poenis Et De Exsecrationibus,prose-philosophy,high,prose-philosophy,
tlg0018.tlg027.1st1K-eng1,tlg0018/tlg027/tlg0018.tlg027.1st1K-eng1.xml,Philo Judaeus,Quod Omnis Probus Liber Sit,prose-philosophy,high,prose-philosophy,
tlg0018.tlg027.1st1K-grc1,tlg0018/tlg027/tlg0018.tlg027.1st1K-grc1.xml,Philo Judaeus,Quod Omnis Probus Liber Sit,prose-philosophy,high,prose-philosophy,
tlg0018.tlg028.1st1K-eng1,tlg0018/tlg028/tlg0018.tlg028.1st1K-eng1.xml,Philo Judaeus,De Vita Contemplativa,prose-philosophy,high,prose-philosophy,
tlg0018.tlg028.1st1K-grc1,tlg0018/tlg028/tlg0018.tlg028.1st1K-grc1.xml,Philo Judaeus,De Vita Contemplativa,prose-philosophy,high,prose-philosophy,
tlg0018.tlg029.1st1K-eng1,tlg0018/tlg029/tlg0018.tlg029.1st1K-eng1.xml,Philo Judaeus,De Aeternitate Mundi,prose-philosophy,high,prose-philosophy,
tlg0018.tlg029.1st1K-grc1,tlg0018/tlg029/tlg0018.tlg029.1st1K-grc1.xml,Philo Judaeus,De Aeternitate Mundi,prose-philosophy,high,prose-philosophy,
tlg0018.tlg030.1st1K-eng1,tlg0018/tlg030/tlg0018.tlg030.1st1K-eng1.xml,Philo Judaeus,In Flaccum,prose-oratory,high,prose-oratory,
tlg0018.tlg030.1st1K-grc1,tlg0018/tlg030/tlg0018.tlg030.1st1K-grc1.xml,Philo Judaeus,In Flaccum,prose-oratory,high,prose-oratory,
tlg0018.tlg031.1st1K-eng1,tlg0018/tlg031/tlg0018.tlg031.1st1K-eng1.xml,Philo Judaeus,Legatio Ad Gaium,prose-oratory,high,prose-oratory,
tlg0018.tlg031.1st1K-grc1,tlg0018/tlg031/tlg0018.tlg031.1st1K-grc1.xml,Philo Judaeus,Legatio Ad Gaium,prose-oratory,high,prose-oratory,
tlg0022.tlg001.1st1K-grc1,tlg0022/tlg001/tlg0022.tlg001.1st1K-grc1.xml,Nicander of Colophon,Theriaca,verse-didactic,high,verse-didactic,
tlg0022.tlg002.1st1K-grc1,tlg0022/tlg002/tlg0022.tlg002.1st1K-grc1.xml,Nicander of Colophon,Alexipharmaca,verse-didactic,high,verse-didactic,
tlg0026.tlg004.1st1K-grc1,tlg0026/tlg004/tlg0026.tlg004.1st1K-grc1.xml,Aeschines,Epistolae,prose-epistolary,high,prose-epistolary,
tlg0031.tlg002.1st1K-cop1,tlg0031/tlg002/tlg0031.tlg002.1st1K-cop1.xml,New Testament,Gospel of Mark,prose-biography,medium,prose-biography,
tlg0031.tlg002.INTF-grc1,tlg0031/tlg002/tlg0031.tlg002.INTF-grc1.xml,New Testament,Gospel of Mark,prose-biography,medium,prose-biography,
tlg0037.tlg001.1st1K-grc1,tlg0037/tlg001/tlg0037.tlg001.1st1K-grc1.xml,Anacharsis,Epistulae,prose-epistolary,high,prose-epistolary,
tlg0039.tlg001.1st1K-grc1,tlg0039/tlg001/tlg0039.tlg001.1st1K-grc1.xml,Mithridatis Epistula,Epistula,prose-epistolary,high,prose-epistolary,
tlg0041.tlg001.1st1K-grc1,tlg0041/tlg001/tlg0041.tlg001.1st1K-grc1.xml,Chionis Epistulae,Epistulae,prose-epistolary,high,prose-epistolary,
tlg0044.tlg001.1st1K-grc1,tlg0044/tlg001/tlg0044.tlg001.1st1K-grc1.xml,Antiochus Epistolographus,Epistulae,prose-epistolary,high,prose-epistolary,
tlg0045.tlg001.1st1K-grc1,tlg0045/tlg001/tlg0045.tlg001.1st1K-grc1.xml,Artaxerxis Epistulae,Epistulae,prose-epistolary,high,prose-epistolary,
tlg0046.tlg001.1st1K-grc1,tlg0046/tlg001/tlg0046.tlg001.1st1K-grc1.xml,Niciae Epistula,Epistula,prose-epistolary,high,prose-epistolary,
tlg0048.tlg001.1st1K-grc1,tlg0048/tlg001/tlg0048.tlg001.1st1K-grc1.xml,"Philip II, King of Macedonia",Epistulae,prose-epistolary,high,prose-epistolary,
tlg0053.tlg001.1st1K-grc1,tlg0053/tlg001/tlg0053.tlg001.1st1K-grc1.xml,Phalaridis Epistulae,Epistulae,prose-epistolary,high,prose-epistolary,
tlg0055.tlg001.1st1K-grc1,tlg0055/tlg001/tlg0055.tlg001.1st1K-grc1.xml,Themistocles,Epistulae,prose-epistolary,high,prose-epistolary,
tlg0057.tlg001.1st1K-grc1,tlg0057/tlg001/tlg0057.tlg001.1st1K-grc1.xml,Galen,Adhortatio ad artes addiscendas,prose-philosophy,medium,prose-philosophy,
tlg0057.tlg001.1st1K-grc2,tlg0057/tlg001/tlg0057.tlg001.1st1K-grc2.xml,Galen,Adhortatio ad artes addiscendas,prose-philosophy,medium,prose-philosophy,
tlg0057.tlg002.1st1K-grc1,tlg0057/tlg002/tlg0057.tlg002.1st1K-grc1.xml,Galen,De optima doctrina,prose-philosophy,high,prose-philosophy,
tlg0057.tlg003.1st1K-grc1,tlg0057/tlg003/tlg0057.tlg003.1st1K-grc1.xml,Galen,Quod optimus medicus sit quoque philosophus,prose-philosophy,high,prose-philosophy,
tlg0057.tlg004.1st1K-grc1,tlg0057/tlg004/tlg0057.tlg004.1st1K-grc1.xml,Galen,De sectis ad eos qui introducuntur,prose-philosophy,high,prose-philosophy,
tlg0057.tlg006.1st1K-grc1,tlg0057/tlg006/tlg0057.tlg006.1st1K-grc1.xml,Galen,De constitutione artis medicae ad Patrophilum,prose-philosophy,high,prose-philosophy,
tlg0057.tlg007.1st1K-grc1,tlg0057/tlg007/tlg0057.tlg007.1st1K-grc1.xml,Galen,Ars Medica,prose-philosophy,high,prose-philosophy,
tlg0057.tlg008.1st1K-grc1,tlg0057/tlg008/tlg0057.tlg008.1st1K-grc1.xml,Galen,De elementis ex Hippocrate,prose-philosophy,high,prose-philosophy,
tlg0057.tlg009.1st1K-grc1,tlg0057/tlg009/tlg0057.tlg009.1st1K-grc1.xml,Galen,De temperamentis,prose-philosophy,high,prose-philosophy,
tlg0057.tlg009.1st1K-grc2,tlg0057/tlg009/tlg0057.tlg009.1st1K-grc2.xml,Galen,De temperamentis,prose-philosophy,high,prose-philosophy,
tlg0057.tlg010.1st1K-grc1,tlg0057/tlg010/tlg0057.tlg010.1st1K-grc1.xml,Galen,De naturalibus facultatibus,prose-philosophy,high,prose-philosophy,
tlg0057.tlg011.1st1K-grc1,tlg0057/tlg011/tlg0057.tlg011.1st1K-grc1.xml,Galen,De anatomicis administrationibus,prose-philosophy,high,prose-philosophy,
tlg0057.tlg012.1st1K-grc1,tlg0057/tlg012/tlg0057.tlg012.1st1K-grc1.xml,Galen,De ossibus ad tirones,prose-philosophy,high,prose-philosophy,
tlg0057.tlg013.1st1K-grc1,tlg0057/tlg013/tlg0057.tlg013.1st1K-grc1.xml,Galen,De venarum arteriarumque dissectione,prose-philosophy,high,prose-philosophy,
tlg0057.tlg014.1st1K-grc1,tlg0057/tlg014/tlg0057.tlg014.1st1K-grc1.xml,Galen,De nervorum dissectione,prose-philosophy,high,prose-philosophy,
tlg0057.tlg015.1st1K-grc1,tlg0057/tlg015/tlg0057.tlg015.1st1K-grc1.xml,Galen,De instrumento odoratus,prose-philosophy,high,prose-philosophy,
tlg0057.tlg016.1st1K-grc1,tlg0057/tlg016/tlg0057.tlg016.1st1K-grc1.xml,Galen,De uteri dissectione,prose-philosophy,high,prose-philosophy,
tlg0057.tlg017.1st1K-grc1,tlg0057/tlg017/tlg0057.tlg017.1st1K-grc1.xml,Galen,De usu partium corporis humani I-XI,prose-philosophy,high,prose-philosophy,
tlg0057.tlg018.1st1K-grc1,tlg0057/tlg018/tlg0057.tlg018.1st1K-grc1.xml,Galen,De motu musculorum,prose-philosophy,high,prose-philosophy,
tlg0057.tlg019.1st1K-grc1,tlg0057/tlg019/tlg0057.tlg019.1st1K-grc1.xml,Galen,De Victu Attenuante,prose-philosophy,high,prose-philosophy,
tlg0057.tlg019.opp-grc1,tlg0057/tlg019/tlg0057.tlg019.opp-grc1.xml,Galen,De Victu Attenuante,prose-philosophy,high,prose-philosophy,
tlg0057.tlg020.1st1K-grc1,tlg0057/tlg020/tlg0057.tlg020.1st1K-grc1.xml,Galen,De utilitate respirationis,prose-philosophy,high,prose-philosophy,
tlg0057.tlg021.1st1K-grc1,tlg0057/tlg021/tlg0057.tlg021.1st1K-grc1.xml,Galen,De semine,prose-philosophy,high,prose-philosophy,
tlg0057.tlg022.1st1K-grc1,tlg0057/tlg022/tlg0057.tlg022.1st1K-grc1.xml,Galen,De foetuum formatione,prose-philosophy,high,prose-philosophy,
tlg0057.tlg023.1st1K-grc1,tlg0057/tlg023/tlg0057.tlg023.1st1K-grc1.xml,Galen,An in arteriis sanguis contineatur,prose-philosophy,high,prose-philosophy,
tlg0057.tlg024.1st1K-grc1,tlg0057/tlg024/tlg0057.tlg024.1st1K-grc1.xml,Galen,De optima corporis nostri constitutione,prose-philosophy,high,prose-philosophy,
tlg0057.tlg025.1st1K-grc1,tlg0057/tlg025/tlg0057.tlg025.1st1K-grc1.xml,Galen,De bono habitu,prose-philosophy,high,prose-philosophy,
tlg0057.tlg027.1st1K-grc1,tlg0057/tlg027/tlg0057.tlg027.1st1K-grc1.xml,Galen,Quod animi mores corporis temperamenta sequantur,prose-philosophy,high,prose-philosophy,
tlg0057.tlg028.1st1K-grc1,tlg0057/tlg028/tlg0057.tlg028.1st1K-grc1.xml,Galen,De propriorum animi cuiuslibet affectuum dignotione et curatione,prose-philosophy,high,prose-philosophy,
tlg0057.tlg029.1st1K-grc1,tlg0057/tlg029/tlg0057.tlg029.1st1K-grc1.xml,Galen,De animi cuiuslibet peccatorum dignotione et curatione,prose-philosophy,high,prose-philosophy,
tlg0057.tlg030.1st1K-grc1,tlg0057/tlg030/tlg0057.tlg030.1st1K-grc1.xml,Galen,De atra bile,prose-philosophy,high,prose-philosophy,
tlg0057.tlg031.1st1K-grc1,tlg0057/tlg031/tlg0057.tlg031.1st1K-grc1.xml,Galen,De usu pulsuum,prose-philosophy,high,prose-philosophy,
tlg0057.tlg032.1st1K-grc1,tlg0057/tlg032/tlg0057.tlg032.1st1K-grc1.xml,Galen,De placitis Hippocratis et Platonis,prose-philosophy,medium,prose-philosophy,
tlg0057.tlg033.1st1K-grc1,tlg0057/tlg033/tlg0057.tlg033.1st1K-grc1.xml,Galen,Thrasybulus sive utrum medicinae sit an gymnasticae hygieine,prose-philosophy,high,prose-philosophy,
tlg0057.tlg034.1st1K-grc1,tlg0057/tlg034/tlg0057.tlg034.1st1K-grc1.xml,Galen,De parvae pilae exercitio,prose-philosophy,high,prose-philosophy,
tlg0057.tlg034.1st1K-grc2,tlg0057/tlg034/tlg0057.tlg034.1st1K-grc2.xml,Galen,De parvae pilae exercitio,prose-philosophy,high,prose-philosophy,
tlg0057.tlg035.1st1K-grc2,tlg0057/tlg035/tlg0057.tlg035.1st1K-grc2.xml,Galen,De venereis,prose-philosophy,high,prose-philosophy,
tlg0057.tlg035.1st1K-grc3,tlg0057/tlg035/tlg0057.tlg035.1st1K-grc3.xml,Galen,De venereis,prose-philosophy,high,prose-philosophy,
tlg0057.tlg036.1st1K-grc1,tlg0057/tlg036/tlg0057.tlg036.1st1K-grc1.xml,Galen,De sanitate tuenda,prose-philosophy,high,prose-philosophy,
tlg0057.tlg037.1st1K-grc1,tlg0057/tlg037/tlg0057.tlg037.1st1K-grc1.xml,Galen,De alimentorum facultatibus,prose-philosophy,high,prose-philosophy,
tlg0057.tlg038.1st1K-grc1,tlg0057/tlg038/tlg0057.tlg038.1st1K-grc1.xml,Galen,De rebus boni malique suci,prose-philosophy,high,prose-philosophy,
tlg0057.tlg039.1st1K-grc1,tlg0057/tlg039/tlg0057.tlg039.1st1K-grc1.xml,Galen,De ptisana,prose-philosophy,high,prose-philosophy,
tlg0057.tlg040.1st1K-grc1,tlg0057/tlg040/tlg0057.tlg040.1st1K-grc1.xml,Galen,De dignotione ex insomniis,prose-philosophy,high,prose-philosophy,
tlg0057.tlg041.1st1K-grc1,tlg0057/tlg041/tlg0057.tlg041.1st1K-grc1.xml,Galen,De morborum differentiis,prose-philosophy,high,prose-philosophy,
tlg0057.tlg042.1st1K-grc1,tlg0057/tlg042/tlg0057.tlg042.1st1K-grc1.xml,Galen,De causis morborum,prose-philosophy,high,prose-philosophy,
tlg0057.tlg043.1st1K-grc1,tlg0057/tlg043/tlg0057.tlg043.1st1K-grc1.xml,Galen,De symptomatum differentiis,prose-philosophy,high,prose-philosophy,
tlg0057.tlg044.1st1K-grc1,tlg0057/tlg044/tlg0057.tlg044.1st1K-grc1.xml,Galen,De symptomatum causis,prose-philosophy,high,prose-philosophy,
tlg0057.tlg045.1st1K-grc1,tlg0057/tlg045/tlg0057.tlg045.1st1K-grc1.xml,Galen,De differentiis febrium,prose-philosophy,high,prose-philosophy,
tlg0057.tlg046.1st1K-grc1,tlg0057/tlg046/tlg0057.tlg046.1st1K-grc1.xml,Galen,De morborum temporibus,prose-philosophy,high,prose-philosophy,
tlg0057.tlg047.1st1K-grc1,tlg0057/tlg047/tlg0057.tlg047.1st1K-grc1.xml,Galen,De totius morbi temporibus,prose-philosophy,high,prose-philosophy,
tlg0057.tlg048.1st1K-grc1,tlg0057/tlg048/tlg0057.tlg048.1st1K-grc1.xml,Galen,De typis,prose-philosophy,high,prose-philosophy,
tlg0057.tlg049.1st1K-grc1,tlg0057/tlg049/tlg0057.tlg049.1st1K-grc1.xml,Galen,Adversus eos qui de typis scripserunt vel de circuitibus,prose-philosophy,high,prose-philosophy,
tlg0057.tlg050.1st1K-grc1,tlg0057/tlg050/tlg0057.tlg050.1st1K-grc1.xml,Galen,De plenitudine,prose-philosophy,high,prose-philosophy,
tlg0057.tlg051.1st1K-grc1,tlg0057/tlg051/tlg0057.tlg051.1st1K-grc1.xml,Galen,"De tremore, palpitatione, convulsione et rigore",prose-philosophy,high,prose-philosophy,
tlg0057.tlg052.1st1K-grc1,tlg0057/tlg052/tlg0057.tlg052.1st1K-grc1.xml,Galen,De comate secundum Hippocratem,prose-philosophy,high,prose-philosophy,
tlg0057.tlg053.1st1K-grc1,tlg0057/tlg053/tlg0057.tlg053.1st1K-grc1.xml,Galen,De marcore,prose-philosophy,high,prose-philosophy,
tlg0057.tlg054.1st1K-grc1,tlg0057/tlg054/tlg0057.tlg054.1st1K-grc1.xml,Galen,De tumoribus praeter naturam,prose-philosophy,high,prose-philosophy,
tlg0057.tlg055.1st1K-grc1,tlg0057/tlg055/tlg0057.tlg055.1st1K-grc1.xml,Galen,De inaequali intemperie,prose-philosophy,high,prose-philosophy,
tlg0057.tlg056.1st1K-grc1,tlg0057/tlg056/tlg0057.tlg056.1st1K-grc1.xml,Galen,De difficultate respirationis,prose-philosophy,high,prose-philosophy,
tlg0057.tlg057.1st1K-grc1,tlg0057/tlg057/tlg0057.tlg057.1st1K-grc1.xml,Galen,De locis affectis,prose-philosophy,high,prose-philosophy,
tlg0057.tlg058.1st1K-grc1,tlg0057/tlg058/tlg0057.tlg058.1st1K-grc1.xml,Galen,De pulsibus ad tirones,prose-philosophy,high,prose-philosophy,
